"Endpoint Name","Endpoint FQDN","IP","Antimalware","Network Attack Defense","Advanced Anti-Exploit","Firewall","Content Control","Antiphishing","Web Traffic Scan","Device Control","Power User","Exchange","Advanced Threat Control","Patch Management","Hyper Detect","Sandbox Analyzer","Anti-Tampering","Scan Mode"
"ADDS-2","adds-2.synovergetech.com","192.168.2.3","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Enabled","Enabled","Hybrid"
"SVT-SRV-SONAR","svt-srv-sonar.synovergetech.com","192.168.3.4","Enabled","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Enabled","Enabled","Enabled","Enabled","Enabled","Hybrid"
"SVT-PC-291","svt-pc-291.synovergetech.com","192.168.3.135","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Enabled","Enabled","Local"
"SVT-SRV-HRMS-PR","svt-srv-hrms-pr.synovergetech.com","192.168.2.76","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Enabled","Enabled","Hybrid"
"SVT-SRV-DB","svt-srv-db.synovergetech.com","192.168.3.185","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Enabled","Enabled","Hybrid"
"SYN-EPLUSE-01","syn-epluse-01.synovergetech.com","192.168.3.31","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Enabled","Not installed","Enabled","Not installed","Enabled","Enabled","Enabled","Enabled","Enabled","Hybrid"
"Ritesh’s MacBook Pro (2)-603e5f860f9a","riteshs-macbook-pro-2.local","192.168.1.14","Enabled","Enabled","Not installed","Enabled","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Enabled","Not installed","Not installed","Not installed","Not installed","Local"
"syn-epulse-03-00155d03f994","syn-epulse-03","192.168.2.152","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"syno-techathon-00155d023a1e","syno-techathon","192.168.2.149","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"logingester-00155d020655","logingester","192.168.2.108","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
"TestKnot-playwright-00155d02657b","testknot-playwright","192.168.2.161","Enabled","Enabled","Enabled","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Not installed","Enabled","Not installed","Enabled","Enabled","Not installed","Hybrid"
